algae,Cropland,Population,Temperature,Precipitation,Solar_radiation,Vapor_pressure,Wind_speed,Urban_extent,Elevation,Slope,SOC,Irrigation,N_fertilizer,Manure,P_fertilizer,Land_cover,Aridity_index,Evapo_transpiration,Cattle,Chiken,Goat,Pig,Sheep,GDP_per,GDP,HDI,Human_footprint,Dist_to_WWTP
0,13,1.662037,8.975,93.75,16697,0.9075,6.125,0,133,6.501609,220.67733,0,0,0,0,13.5,28533.5,534,198.651489,6.590428,0.495551,0,170.06868,28712.45703,3986610.25,0.797,0.196718,0.834983
0,5,1.663008,9.3,88.75,16867.75,0.9475,6.125,0,14,1.586487,216.325142,0,0,0,0,13.5,27630.25,531.5,198.651489,6.590428,0.495551,0,170.06868,28712.45703,3986610.25,0.797,0.196718,0.806574
0,13,1.663008,9.35,89.5,16857,0.945,6.1,0,21.75,2.073347,207.337337,0,0,0,0,13.5,27612,533.25,198.651489,6.590428,0.495551,0,170.06868,28712.45703,3986610.25,0.797,0.196718,0.822712
0,5,1867.368683,14.6,51.5,20309.25,1.1,3.2,0.364,50.625,0.328209,70.846298,0,0,3.861,0,6,9683,700,327.020905,0,0,293.401459,56.300537,39248.70703,2270448128,0.803107,1,0.250199
0,27,1575.68219,14.6,50,20446.25,1.115,3.4,23.3902,32,0.346557,61.551199,0,0,3.861,0,18,9553.25,701.25,69.209053,106.774948,6.889007,49.540493,32.834278,39248.70703,4046450944,0.803107,1,0.217278
0,6,1577.291229,14.575,48.5,20632.5,1.115,3.5,21.1972,48.125,1.08305,65.436399,0,0,6.037,0,14,9293.75,707.25,39.186882,25.980974,1.676265,12.054422,7.989388,39248.70703,2836453632,0.803107,1,0.099311
0,1,1577.29129,14.85,48.25,20654.25,1.12,3.4,62.592901,22.125,0.436256,62.871099,0,0,3.861,0,22,9325,717.5,69.209053,106.774948,6.889007,49.540493,32.834278,39248.70703,4046450944,0.803107,1,0.200073
0,35,4833.290588,14.75,48,20660.5,1.13,3.525,23.778701,24.875,0.591773,68.141349,0,0,6.037,0,19.25,9241.5,714,61.706474,86.584435,5.586337,40.172684,26.625511,39248.70703,1560066432,0.803107,1,0.160493
0,5,3928.555695,14.825,48,20670.25,1.13,3.55,21.6715,24,0.354382,68.141349,0,0,6.037,0,20.75,9182,720,61.706474,86.584435,5.586337,40.172684,26.625511,39248.70703,1560066432,0.803107,1,0.170433
0,15,5436.366577,14.8,48,20655.75,1.1325,3.6,31.8862,20,0.795134,70.846298,0,0,0,0,4,8993.5,723.5,117.831291,248.584229,16.038393,115.335922,76.441948,39248.70703,6207940608,0.803107,1,0.152356
0,79,208.571698,14.15,53,20783,1.0975,2.9,2.7032,22.25,0.303369,75.055555,0.769237,44.264999,4.591,4.125,16,7829,719.5,298.230774,806.39624,0,122.952866,178.257095,26105.20703,221459536,0.808647,1,0.014868
0,0,7384.126831,14.7,53.25,20707.25,1.095,3,74.9573,18,0.485336,0,0.176697,44.264999,4.591,4.125,22,7588.5,743.5,259.439514,701.507263,0,106.960243,155.070984,26105.20703,3677812992,0.808647,1,0.032707
0,6,8978.105469,14.875,54,20624.75,1.125,3,56.174349,25.375,1.122505,0,0.176697,44.264999,4.591,4.125,22,7644.5,749.25,259.439514,701.507263,0,106.960243,155.070984,26105.20703,3677812992,0.808647,1,0.024513
0,40,7824.669556,14.925,53.75,20605,1.13,3,66.91485,11.375,0.381618,0,0.176697,44.264999,4.591,4.125,22,7614.5,750.25,259.439514,701.507263,0,106.960243,155.070984,26105.20703,3677812992,0.808647,1,0.010899
0,23,1775.560478,14.8,52.75,20766,1.0925,3,13.9844,19.625,1.389152,0,0,44.264999,4.591,4.125,20.5,7580,750.25,239.141937,646.623962,0,98.592072,142.938812,26105.20703,936533696,0.808647,1,0.006129
0,5,743.092304,14.625,52,20868.5,1.105,3,6.21965,14.625,1.369154,65.722849,0.302676,44.264999,4.591,4.125,18,7626.25,741.5,298.980347,808.423096,0,123.261909,178.705139,26105.20703,303364800,0.808647,1,0.007654
0,8,761.954216,14.3,52.25,20844,1.095,3,6.8702,27.875,2.42207,60.036608,0,44.264999,4.591,4.125,7.25,7697.5,728.75,239.141937,646.623962,0,98.592072,142.938812,26105.20703,936533696,0.808647,1,0.041444
0,0,1377.465698,14.85,52,20917,1.16,3.7,15.163,16.125,1.00779,64.381919,0.025339,4.9,6.596,0.597,17.5,8904.25,740,124.595871,2944.935059,3.136703,109.117065,43.305103,24131.71289,1509303680,0.728,1,0.005653
0,0,1377.465607,14.85,52.5,20848.25,1.1525,3.675,1.7624,29.375,0.959643,68.543477,0.025339,4.9,6.596,0.597,13,8970.25,739.75,124.595871,2944.935059,3.136703,109.117065,43.305103,24131.71289,1509303680,0.728,1,0
0,0,1377.465668,14.85,53,20820.25,1.15,3.6,2.9472,30.125,0.824028,73.807491,0.025339,4.9,6.596,0.597,13,8993.75,738.5,124.595871,2944.935059,3.136703,109.117065,43.305103,24131.71289,1509303680,0.728,1,0.011014
0,0,2340.043495,15.7,60.5,20700.25,1.24,3.3,42.4249,1.625,0.293451,63.234281,0,2.237,4.16,0.289,22,8487.75,768.25,137.717896,12490.01758,9.682173,436.262756,19.727818,21096.02734,2928426240,0.703,1,0.000622
0,2,3596.723083,15.75,60.5,20707.75,1.24,3.2,80.610397,7.625,0.640834,67.965691,0,2.237,4.16,0.289,22,8594.5,765.75,137.717896,12490.01758,9.682173,436.262756,19.727818,21096.02734,2928426240,0.703,1,0.010332
0,2,4348.834717,15.775,61.75,20534.25,1.24,3.2,98.420799,12.625,0.450252,74.997135,0,2.237,4.16,0.289,22,8696.5,766.25,137.717896,12490.01758,9.682173,436.262756,19.727818,21096.02734,2928426240,0.703,1,0.026999
0,0,2464.201569,15.8,60,20703.5,1.24,3.2,38.184699,1.25,0.365787,68.07177,0,2.237,4.16,0.289,22,8470,768,137.717896,12490.01758,9.682173,436.262756,19.727818,21096.02734,2928426240,0.703,1,0.031408
0,1,10085.29858,13.55,61.25,16640,1.125,3.175,79.591995,11.25,0.487211,35.508575,0.132496,47.457001,60.075001,4.807,22,16406.75,705.75,770.74646,385.18924,0,4.462348,2682.38208,26749.68164,5984848384,0.776963,1,0.006567
0,3,10867.77466,13.5,61.5,16637.5,1.125,3.1,83.917698,14.75,0.557802,49.72735,0.132496,47.457001,60.075001,4.807,22,16402.5,709.75,770.74646,385.18924,0,4.462348,2682.38208,26749.68164,5984848384,0.776963,1,0
0,3,3547.180115,13.475,61.5,16682.5,1.12,3.1,85.0075,19.375,0.761982,56.904625,0.132496,47.457001,60.075001,4.807,22,16542.5,708.5,770.74646,385.18924,0,4.462348,2682.38208,26749.68164,5984848384,0.776963,1,0.0101
0,0,4880.16082,13.375,61.25,16626.75,1.1275,3.1,76.706131,13.75,0.574277,48,0.153702,47.457001,60.075001,4.807,22,16278.25,709.5,1462.672729,2758.4646,2.110871,7.1051,5061.796875,26749.68164,4647215616,0.776963,1,0.000068
0,0,5045.172638,13.35,60.75,16695.25,1.12,3.075,76.602,14.375,0.800527,49.72605,0.153702,47.457001,60.075001,4.807,22,16318.25,708.5,1462.672729,2758.4646,2.110871,7.1051,5061.796875,26749.68164,4647215616,0.776963,1,0.0101
0,11,3783.981628,13.275,61.5,16748,1.12,3,67.444649,21.75,0.655487,58.1635,0.301769,47.457001,60.075001,4.807,18,16768.5,700.75,2136.463379,4193.661621,0.873631,0,7735.679688,26749.68164,2725267200,0.776963,1,0.052233
1,1,21057.12061,17.200001,80.5,19773.5,1.27,2.7,89.3125,128.75,1.045591,42.613037,0,0.955,6.901,0.122,22,8340.25,811.75,0,0,0,0,0,27016.17578,30681333760,0.815671,1,0
1,0,20520.33203,17.150001,84.75,19344.25,1.265,2.7,98.354797,138.25,1.073311,42.613037,0,0.955,6.901,0.122,22,8879.5,797.75,0,0,0,0,0,27016.17578,28121313280,0.815671,1,0.010063
0,0,28680.36816,17.225,84,19444.25,1.2675,2.7,97.464897,136.375,1.561429,42.613037,0,0.955,6.901,0.122,22,8723,802.75,0,0,0,0,0,27016.17578,28121313280,0.815671,1,0
0,3,19596.67383,17.375,80,19818.5,1.27,2.7,87.867467,129.125,0.693135,42.613037,0,2.565,5.639,0.326,22,8000.5,826,0,0,0,0,0,27016.17578,28121313280,0.815671,1,0.042729
0,2,41164.15039,17.299999,78.25,19955,1.27,2.7,79.081034,123.875,1.373216,46.113038,0.040681,2.565,5.639,0.326,22,7909.25,824.5,0,0,0,0,0,27016.17578,12911672320,0.815671,1,0.000071
0,0,6852.424194,15.875,51.75,18751,1.24,4.925,77.119049,10,0.456902,66.781053,0.126267,54.103001,81.869003,3.724,22,7030,839.25,622.302368,4045.358887,0,8878.057617,69.266808,47498.91406,6981956608,0.787399,1,0.026484
0,4,3320.325989,15.825,51.5,18782.25,1.24,5,51.443699,10.75,0.633894,81.726408,0.47662,54.103001,81.869003,3.724,22,7035,833.5,648.214966,4213.807129,0,9247.738281,72.151077,47498.91406,2304146944,0.787399,1,0.02441
1,0,2385.37439,15.725,72,20145,1.245,2.9,10.440633,131,2.075571,55.466383,0,5.736,5.875,0.948,7.5,8227.25,782.75,1541.840698,252916.0313,129.690308,2338.723389,482.011383,17143.71094,11908690944,0.731,1,0.089271
1,0,2385.374329,15.7,72.25,20070.25,1.25,2.9,0.78745,120.375,2.413816,73.214993,0,5.736,5.875,0.948,4,8235.25,780,1541.840698,252916.0313,129.690308,2338.723389,482.011383,17143.71094,11908690944,0.731,1,0.079113
0,0,2388.318787,16.3,72,20045.25,1.255,2.9,88.265297,104.875,0.804745,47.87881,0,9.461,12.466,1.762,22,7966.75,814,1541.840698,252916.0313,129.690308,2338.723389,482.011383,17143.71094,11908690944,0.731,1,0.112909
0,2,2324.486938,15.675,73.5,19931,1.2525,2.9,11.3804,117.625,2.704302,59.86981,0.256467,9.461,12.466,1.762,8.75,8325.5,774.5,273.14679,44421.91016,24.060272,378.004761,88.808334,17143.71094,164342336,0.731,1,0.060353
0,0,2389.299805,16.375,73.25,19966.75,1.255,2.9,73.335602,115.125,1.204253,47.618627,0,9.461,12.466,1.762,22,7963,818,1541.840698,252916.0313,129.690308,2338.723389,482.011383,17143.71094,11908690944,0.731,1,0.097252
0,2,2389.299805,16.225,73.5,19893,1.2525,2.9,76.5765,104.25,2.187878,47.730023,0,9.461,12.466,1.762,22,8065.75,810,1541.840698,252916.0313,129.690308,2338.723389,482.011383,17143.71094,11908690944,0.731,1,0.09628
0,2,2390.280945,15.675,73,19970.5,1.2525,2.9,33.832066,125.75,1.266387,82.66358,0.445018,9.461,12.466,1.762,18.5,8309.5,777.25,607.934631,100301.9766,50.986874,878.255249,193.725128,17143.71094,437789824,0.731,1,0.06047
0,0,4790.786926,14.55,57,16942,1.195,4.575,84.965752,6.875,0.405186,0,0,48.362,59.981998,5.23,22,10583.25,763.5,1411.144043,18049.56445,1.914983,192.024826,522.886047,20209.81445,4785034752,0.754125,1,0.022647
0,0,7771.252502,14.55,57,16896.5,1.2,4.625,98.564148,5,0.347396,0,0,48.362,59.981998,5.23,22,10543.5,763.5,0,0,0,0,0,20209.81445,2566141952,0.754125,1,0.012631
0,0,13843.14844,14.55,57,16920.75,1.1975,4.5,69.581902,9,0.718669,0,0.12561,48.362,59.981998,5.23,22,10642.5,754.5,4146.816895,21664.79688,10.196083,1022.41156,2784.039307,20209.81445,2031699712,0.754125,1,0.034712
0,0,4870.329163,14.275,58,16920.75,1.195,4.425,36.72895,24.5,1.094074,0,0.12561,48.362,59.981998,5.23,17,11072.25,736.25,4146.816895,21664.79688,10.196083,1022.41156,2784.039307,20209.81445,2031699712,0.754125,1,0.050527
0,0,6853.959778,14.3,57,17006.5,1.1825,4.45,27.986251,15.625,1.157155,0,0.12561,48.362,59.981998,5.23,22,10940.75,736.25,4146.816895,21664.79688,10.196083,1022.41156,2784.039307,20209.81445,2031699712,0.754125,1,0.049522
0,33,244.960846,15.3,72,20855.5,1.26,3.1,1.1824,173.625,0.512821,46.611247,0.606073,21.266001,21.156,3.198,16,7837.25,760,1815.082642,15190.10352,9.272563,2202.052002,53.534374,7076.03418,153296672,0.704742,1,0.178568
0,16,233.825195,15.6,73.5,20673,1.27,3.1,60.809502,168.25,0.461656,49.120662,0.370761,21.266001,21.156,3.198,22,7795,774,980.413574,20094.9707,9.179773,2228.505615,52.998661,7076.03418,1052536448,0.704742,1,0.141694
0,16,245.059326,15.525,74,20646,1.27,3.1,76.0867,168.125,0.421413,55.572749,0.370761,21.266001,21.156,3.198,22,7817.75,770.25,980.413574,20094.9707,9.179773,2228.505615,52.998661,7076.03418,1052536448,0.704742,1,0.125868
0,14,311.564449,15.325,73,20706.25,1.28,3.1,3.98335,156.5,0.448455,47.102659,0.22102,21.266001,21.156,3.198,16,7866.75,754.5,1901.611816,13417.55664,9.291033,1987.272461,53.641006,7076.03418,146543184,0.704742,0.904627,0.089007
0,82,19.585417,13.425,55,17305.5,1.175,3.6,0.4947,21.5,0.18593,75.034401,0.634793,30.77,48.98,4.947,16,8368.25,738.25,2250.671387,22603.36914,39.233837,3376.790771,7493.648438,23686.14063,557510016,0.791105,1,0.090491
0,31,302.224876,13.5,55.75,17244.75,1.17,3.6,1.2733,20,0.244341,71.476578,0.634793,30.77,48.98,4.947,16,8341,738,2250.671387,22603.36914,39.233837,3376.790771,7493.648438,23686.14063,557510016,0.791105,1,0.074482
0,48,183.863794,13.675,55.75,17187.75,1.17,3.5,4.534,12.25,0.353438,77.219051,0.721786,30.77,48.98,4.947,16,8025.25,756.75,2531.459229,39670.45703,65.900688,4342.194824,11823.93164,23686.14063,121372576,0.791105,1,0
0,38,1626.271667,13.625,55.5,17267,1.18,3.6,11.72035,16.75,0.264002,72.979527,0.634793,30.77,48.98,4.947,16,8098,751.25,2250.671387,22603.36914,39.233837,3376.790771,7493.648438,23686.14063,557510016,0.791105,1,0.038065
0,5,1699.290009,13.775,56,17253.5,1.18,3.6,26.4593,11.25,0.38276,88.032047,0.405074,30.77,48.98,4.947,16,7962.75,758.5,1676.817749,0,3.495636,1872.653442,1569.623657,23686.14063,2209173760,0.791105,1,0.024276
0,5,5559.411285,14.025,55.75,17264.25,1.18,3.6,59.766651,12.125,0.515453,58.736247,0.405074,30.77,48.98,4.947,19,7838.75,768.75,1676.817749,0,3.495636,1872.653442,1569.623657,23686.14063,2209173760,0.791105,1,0.006171
0,0,12720.36304,14.125,56,17204,1.175,3.6,91.903748,15.375,0.33086,51.064925,0.490074,30.77,48.98,4.947,22,7831.75,774.5,1721.454712,397.138336,4.195587,1937.670898,1706.053467,23686.14063,3061482496,0.791105,1,0
0,27,10589.89807,14.1,55.5,17263.25,1.18,3.6,75.426796,14.875,0.479194,22.135875,0.490074,30.77,48.98,4.947,22,7762,778,1721.454712,397.138336,4.195587,1937.670898,1706.053467,23686.14063,3061482496,0.791105,1,0.012438
0,57,158.614477,13.85,54,17392.75,1.195,3.6,5.8694,9.125,0.308637,81.294849,0.735101,30.77,48.98,4.947,16,7726.5,760,2126.626953,12753.53418,23.922976,2862.076416,5030.112305,23686.14063,170886160,0.791105,1,0.049748
0,0,12155.38196,13.95,61.75,17099.25,1.1575,3.675,75.283348,74.25,2.509372,46.629701,0.120221,24.899,65.431999,3.093,17.5,9696.75,767.75,1639.952881,8104.950195,14.51001,1038.462158,4461.322266,23686.14063,3582532608,0.758331,1,0.069256
0,0,10800.60107,14.2,60.75,16989.5,1.165,3.625,98.55685,50.25,1.931149,7.314775,0.022356,24.899,65.431999,3.093,22,9294.5,770.25,1230.156982,6079.663574,10.88421,778.968445,3346.514893,23686.14063,8107430400,0.758331,1,0.09821
0,0,9646.84021,14.3,60.75,16963.5,1.1675,3.6,99.483398,46.25,1.581356,5.628,0.022356,24.899,65.431999,3.093,22,9181.25,773.25,1230.156982,6079.663574,10.88421,778.968445,3346.514893,23686.14063,8107430400,0.758331,1,0.103415
0,16,5204.593201,14.375,59.5,16998.25,1.17,3.525,91.997902,30.125,0.723795,2.9779,0.022356,24.899,65.431999,3.093,19.5,8935.75,772.25,1230.156982,6079.663574,10.88421,778.968445,3346.514893,23686.14063,8107430400,0.758331,1,0.102932
0,12,1226.567398,14.175,58.25,17217.25,1.1725,3.575,8.649,40.625,1.462079,39.195752,0.145497,30.77,48.98,4.947,16,8733.25,779,1733.119995,8565.399414,15.334337,1097.458008,4714.773926,23686.14063,3694098944,0.758331,1,0.064111
0,12,676.065914,14.075,58.25,17180.5,1.17,3.525,46.1408,36,1.635256,49.0291,0.145497,30.77,48.98,4.947,19,8633.25,774.75,1733.119995,8565.399414,15.334337,1097.458008,4714.773926,23686.14063,3694098944,0.758331,1,0.040784
0,13,363.992014,14,57.75,17177.75,1.17,3.55,16.588575,33.25,2.010905,84.848175,0.145497,30.77,48.98,4.947,17.5,8591.75,775.75,1733.119995,8565.399414,15.334337,1097.458008,4714.773926,23686.14063,3694098944,0.758331,1,0.034183
0,58,133.245541,13.3,58,17623,1.2225,3.925,1.6233,35.375,0.498343,69.243507,0.387484,23.059,26.697001,2.69,16,11086.25,706.25,4104.92041,860.604431,23.881689,11.17985,8266.493164,25475.82813,231970752,0.765813,0.511282,0.125448
0,58,133.964155,13.375,58.5,17539,1.2475,4,7.6,29.125,0.63204,86.780203,0.387484,23.059,26.697001,2.69,16,11022,710.25,4104.92041,860.604431,23.881689,11.17985,8266.493164,25475.82813,231970752,0.765813,0.511282,0.118815
1,70,113.243109,13.4,58.5,17588.25,1.24,4.05,1.82845,26.875,0.465605,85.798397,0.337876,23.059,26.697001,2.69,16,11028.75,714.75,2213.254883,794.316833,23.744513,4.187423,2710.732666,25475.82813,465916032,0.765813,0.863765,0.112692
0,27,1498.245903,13.925,53,17811,1.25,4.25,43.484301,6.125,0.20269,64.458026,0.149867,38.562,206.494995,3.346,16,9204.25,721.25,3556.163818,136323.5625,3.839515,209.496933,10824.96582,23533.10742,1918198144,0.775611,1,0
0,6,37.605973,12.725,69.25,17916.25,1.2025,3.475,1.4345,154.875,2.569156,129.060005,0.026473,38.562,206.494995,3.346,13,14562.25,669,2602.322266,9873.361328,2.804776,23.107294,32006.72461,23533.10742,33311910,0.756079,0.98491,0.081435
0,0,732.468059,12.725,70,17874,1.2,3.45,10.47005,167.875,6.380302,124.468201,0.026473,38.562,206.494995,3.346,13,14550.25,667.5,2602.322266,9873.361328,2.804776,23.107294,32006.72461,23533.10742,33311910,0.756079,0.98491,0.097883
0,7,789.320122,12.65,75.5,17945.25,1.19,3.35,12.36645,179,1.897871,94.410572,0.036549,26.218,118.966003,2.068,13.75,17103.75,656.5,1475.643799,639.317688,3.995513,19.544611,21054.57031,23533.10742,72883160,0.756079,0.81666,0.102555
1,1,46.42578,12.55,75,17966.5,1.2,3.4,0.91725,193.125,7.000391,125.538002,0.003906,26.218,118.966003,2.068,13,16941.5,652.5,1586.675781,687.421875,4.296148,21.015209,22638.78125,23533.10742,6228808,0.756079,0.672925,0.01922
0,1,110.438903,12.65,76.25,17920.25,1.1875,3.325,0.2595,171.625,2.922312,69.583951,0.036549,26.218,118.966003,2.068,7.5,17096.75,663,1475.643799,639.317688,3.995513,19.544611,21054.57031,23533.10742,72883160,0.756079,0.81666,0.120352
0,1,361.789466,12.475,79.25,17904,1.1675,3.45,0.1944,220.125,4.780506,76.044101,0.036549,26.218,118.966003,2.068,8.75,18130.5,655.5,1475.643799,639.317688,3.995513,19.544611,21054.57031,23533.10742,72883160,0.756079,0.81666,0.103867
0,1,10.698008,12.55,79.25,17925.25,1.175,3.475,1.6137,188.25,2.553648,96.943451,0.022941,26.218,118.966003,2.068,13,18232.5,654,1586.675781,687.421875,4.296148,21.015209,22638.78125,23533.10742,22045096,0.756079,0.680203,0.192443
0,0,2918.585052,16.849999,65,18964.75,1.2975,3.3,9.1147,33.625,0.717216,0,0.016925,33.667999,35.828999,2.869,4,6081.25,898,679.526489,10452.99219,3.429862,1004.812927,88.42379,26526.66602,1034719552,0.802477,1,0.128916
0,0,8174.96228,17.225,66.25,18839.5,1.2725,3.3,68.676849,32.5,0.357575,43,0,33.667999,35.828999,2.869,22,5992.25,926,18.643232,0,0.577619,0,18.652206,27172.48438,7706786304,0.804175,1,0.110219
0,0,8183.74707,17.4,65,18832.75,1.26,3.3,96.13525,39.5,0.40421,43,0,33.667999,35.828999,2.869,22,6094.75,951.5,0,0,0,0,0,27172.48438,18187767808,0.804175,1,0.068296
0,0,7136.208252,16.65,66.25,18900.75,1.28,3.375,0.8762,52.125,2.42226,0,0,33.667999,35.828999,2.869,7.25,6258.25,894,21.88192,0,0.677963,0,21.892454,27172.48438,2296241152,0.804175,1,0.111442
0,1,1532.903275,15.425,71.5,17915.25,1.295,3.7,57.37755,0.875,0.134725,108.369011,0.021891,110.679001,251.235001,7.07,20.5,10090,804.5,4542.671387,10743.57227,373.235229,954.756653,1381.95874,35116.48828,5007181824,0.854625,1,0.006382
0,1,2357.607452,15.475,71.25,17960.5,1.285,3.7,28.421575,0.625,0.148442,130.609188,0.021891,110.679001,251.235001,7.07,16,9985.75,811.75,4542.671387,10743.57227,373.235229,954.756653,1381.95874,35116.48828,5007181824,0.854625,1,0
0,1,7874.244019,15.675,72,17858.5,1.3,3.7,77.29285,2.75,0.128865,154.236359,0.026374,110.679001,251.235001,7.07,22,9835.5,826.5,3373.118164,23174.69727,268.803741,719.445862,1063.627563,35116.48828,8800690176,0.854625,1,0.012914
0,1,7874.244141,15.65,71.5,17915.75,1.29,3.7,74.5252,3.5,0.2017,96.050636,0.026374,110.679001,251.235001,7.07,22,9806.5,827,3373.118164,23174.69727,268.803741,719.445862,1063.627563,35116.48828,8800690176,0.854625,1,0.017979
0,0,7877.188232,15.65,72.75,17732.5,1.2775,3.7,96.847397,4.25,0.246161,0,0.026374,110.679001,251.235001,7.07,22,9823,825.25,3373.118164,23174.69727,268.803741,719.445862,1063.627563,35116.48828,8800690176,0.854625,1,0.027515
0,0,7880.130615,15.55,72.75,17691.75,1.27,3.6,92.117968,6,0.329152,0,0.07296,110.679001,251.235001,7.07,22,9812.25,821.5,2676.864502,50598.89453,87.778496,2005.29895,1414.211792,35116.48828,7235972608,0.854625,1,0.037182
0,0,7880.129883,15.45,72.25,17712.5,1.27,3.6,76.560766,4.5,0.219677,0,0.07296,110.679001,251.235001,7.07,22,9834,813.5,2676.864502,50598.89453,87.778496,2005.29895,1414.211792,35116.48828,7235972608,0.854625,1,0.037143
0,0,8633.625977,15.7,52.25,17876.5,1.2375,3.5,73.576599,9.75,0.198648,50.438099,0,5.461,25.316,0.543,22,6730,894.5,113.482742,0,0,0,18.768082,32470.98242,10031860736,0.792181,1,0.022486
0,0,11181.94458,15.6,52.75,17826.75,1.23,3.5,80.186676,10.625,0.260115,28.81575,0,5.461,25.316,0.543,22,6926.5,884.5,315.617706,959.194702,3.885411,112.149879,673.961731,32470.98242,10653494272,0.792181,1,0.031182
0,0,13566.97009,15.55,52.75,17840.75,1.23,3.5,71.3959,11.75,0.606234,30.176501,0,5.461,25.316,0.543,22,6999.5,880,315.617706,959.194702,3.885411,112.149879,673.961731,32470.98242,10653494272,0.792181,1,0.031178
0,0,14059.92407,15.5,53,17813.5,1.2275,3.5,84.907448,22.625,0.810694,13.8379,0,5.461,25.316,0.543,22,7082,881,315.617706,959.194702,3.885411,112.149879,673.961731,32470.98242,10653494272,0.792181,1,0.047844
0,0,11305.86084,15.575,53,17860.5,1.23,3.5,70.021399,17.75,0.347705,28.890699,0,5.461,25.316,0.543,22,7060,882.75,315.617706,959.194702,3.885411,112.149879,673.961731,32470.98242,10653494272,0.792181,1,0.064511
0,3,2823.037109,16.175001,74.75,18047.5,1.3325,3.5,45.942402,6.5,0.551289,95.27323,0.030641,28.164,138.460999,3.564,17.5,9329.5,857.75,475.684357,66119.59375,65.08606,9557.301758,100.093674,35481.07422,14094960640,0.810451,1,0.023119
0,5,2631.77417,16.025,75.5,17970,1.315,3.5,64.650902,8.625,0.203206,85.260059,0.203783,27.752001,244.748001,3.502,20.5,9482.25,847.5,1487.199341,91823.03125,90.387726,13272.62305,266.108826,35481.07422,2102086144,0.810451,1,0.05615
0,1,5392.248535,16.475,75.25,18002.75,1.335,3.6,91.628725,4.5,0.242427,51.186106,0.030641,36.189999,151.770996,4.248,22,9058.75,875.75,475.684357,66119.59375,65.08606,9557.301758,100.093674,35481.07422,14094960640,0.810451,1,0.010727
1,1,5392.248169,16.425,77,17767.75,1.3125,3.575,97.076,3.375,0.219953,50.210888,0.030641,36.189999,151.770996,4.248,22,9232.25,872.25,475.684357,66119.59375,65.08606,9557.301758,100.093674,35481.07422,14094960640,0.810451,1,0
0,1,5392.248535,16.375,77,17790,1.3175,3.5,96.702251,3.5,0.18404,91.300003,0.030641,36.189999,151.770996,4.248,22,9191.25,875,475.684357,66119.59375,65.08606,9557.301758,100.093674,35481.07422,14094960640,0.810451,1,0.00594
0,8,1883.4729,16.1,76.25,17880.75,1.3125,3.425,56.073898,7,0.352479,71.252739,0.203783,60.222,113.591003,7.101,16,9415.25,853,1487.199341,91823.03125,90.387726,13272.62305,266.108826,35481.07422,2102086144,0.810451,1,0.05594
